Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
59,Yes,Non-Travel,873,Hardware,26,2,4,Female,2,2,Manager,1,Married,8,No,48,4,3,2,30,4,3,23,5,1,17
45,No,Travel_Rarely,111,Support,5,2,3,Female,1,4,Developer,3,Married,5,No,27,4,1,2,18,3,4,17,1,11,15
32,No,Travel_Frequently,633,Software,11,5,3,Female,1,3,Developer,1,Divorced,7,Yes,22,3,3,2,13,5,3,13,11,9,12
56,No,Travel_Frequently,276,Software,45,5,3,Male,4,2,Sales Executive,3,Single,7,No,26,3,2,3,34,5,1,28,18,20,4
57,No,Travel_Rarely,377,Support,35,4,2,Female,1,1,Sales Representative,2,Divorced,8,Yes,43,4,1,1,35,5,3,24,24,4,23
53,Yes,Non-Travel,1018,Research & Development,20,2,1,Female,3,4,Healthcare Representative,1,Single,6,Yes,17,4,3,1,9,1,1,2,1,2,1
56,No,Travel_Frequently,402,Support,46,3,1,Female,4,5,Healthcare Representative,1,Single,1,No,32,4,3,3,10,2,1,8,4,5,2
26,Yes,Non-Travel,197,Support,39,5,4,Female,1,2,Laboratory Technician,3,Single,0,No,43,2,3,3,9,1,2,3,1,1,3
29,Yes,Travel_Rarely,1148,Software,19,2,3,Male,4,1,Sales Executive,3,Divorced,6,No,5,2,4,3,14,3,1,12,5,2,4
32,Yes,Travel_Rarely,775,Software,10,3,3,Female,1,3,Manager,4,Divorced,4,Yes,6,2,4,1,28,5,3,6,6,2,2
23,Yes,Non-Travel,417,Sales,13,2,2,Male,4,1,Healthcare Representative,3,Married,6,No,33,4,1,4,3,6,2,2,1,2,1
25,Yes,Travel_Rarely,1143,Human Resources,27,4,3,Male,4,3,Manager,1,Divorced,2,No,27,3,1,2,35,5,1,30,7,11,13
30,No,Non-Travel,1062,Software,40,2,4,Male,2,5,Human Resources,1,Married,7,Yes,45,3,3,2,31,5,1,28,9,20,7
18,Yes,Travel_Rarely,414,Human Resources,25,4,4,Female,4,3,Sales Representative,1,Single,8,No,29,1,1,2,9,1,1,5,1,5,4
51,Yes,Non-Travel,381,Research & Development,9,1,3,Female,2,5,Sales Representative,3,Married,3,No,47,3,1,2,9,5,4,4,2,3,1
57,Yes,Travel_Rarely,238,Human Resources,6,5,3,Female,1,2,Human Resources,2,Divorced,8,No,45,2,1,3,23,5,3,13,1,4,7
59,Yes,Travel_Frequently,1448,Research & Development,16,4,4,Female,4,5,Manufacturing Director,3,Married,3,No,9,3,1,1,16,5,2,12,10,4,5
20,No,Travel_Frequently,462,Hardware,3,4,2,Female,1,3,Research Director,1,Married,0,Yes,45,3,2,1,18,3,1,5,1,1,3
42,Yes,Non-Travel,109,Sales,18,1,2,Female,4,4,Research Director,3,Married,4,Yes,16,2,4,2,23,6,1,7,5,1,3
23,Yes,Travel_Rarely,350,Hardware,15,5,3,Male,3,4,Healthcare Representative,2,Single,3,No,41,1,4,3,37,3,2,8,1,2,1
53,Yes,Travel_Frequently,1191,Sales,36,4,3,Female,2,2,Manufacturing Director,4,Single,7,No,8,3,2,3,32,5,3,31,12,11,12
24,Yes,Travel_Rarely,562,Human Resources,48,2,3,Female,2,3,Developer,3,Single,3,No,17,2,3,2,1,1,2,1,1,1,1
28,Yes,Travel_Rarely,117,Human Resources,1,5,3,Female,1,1,Human Resources,3,Divorced,0,No,34,4,1,4,31,4,1,6,5,1,6
53,Yes,Travel_Rarely,1486,Research & Development,25,3,4,Male,4,2,Developer,3,Married,0,Yes,8,4,1,1,20,1,3,3,2,1,1
24,Yes,Travel_Rarely,1008,Human Resources,21,4,3,Male,2,3,Manager,4,Married,1,Yes,10,4,4,2,11,5,4,4,4,1,4
46,No,Travel_Frequently,858,Sales,25,2,1,Female,3,3,Research Scientist,3,Divorced,1,Yes,25,3,2,2,8,3,4,4,4,2,1
49,No,Travel_Frequently,1162,Support,44,4,4,Female,1,2,Healthcare Representative,2,Divorced,0,Yes,46,3,1,3,2,4,1,1,1,1,1
27,Yes,Travel_Frequently,945,Software,37,2,4,Female,3,2,Human Resources,1,Divorced,2,No,16,4,1,2,15,6,3,7,2,1,4
27,Yes,Non-Travel,1060,Software,18,4,2,Female,1,3,Laboratory Technician,3,Single,1,Yes,45,1,4,2,30,6,1,2,1,2,1
29,Yes,Travel_Rarely,922,Sales,15,5,1,Male,2,1,Sales Representative,4,Single,6,No,23,2,3,1,40,3,2,20,8,8,6
46,Yes,Travel_Rarely,1335,Support,27,4,3,Male,2,1,Sales Representative,1,Married,0,Yes,13,3,1,3,5,2,3,1,1,1,1
57,Yes,Travel_Rarely,828,Hardware,46,1,2,Female,1,1,Research Scientist,1,Married,7,Yes,14,1,1,3,27,4,2,8,5,4,4
18,No,Non-Travel,314,Software,39,4,3,Female,4,4,Laboratory Technician,3,Divorced,5,Yes,23,3,2,1,36,2,4,29,7,13,27
47,Yes,Travel_Frequently,430,Research & Development,34,1,1,Female,2,2,Developer,2,Married,7,No,21,4,1,4,21,3,2,4,1,2,1
22,No,Non-Travel,497,Software,50,1,3,Male,3,3,Research Scientist,4,Single,3,No,32,1,1,1,24,1,3,19,6,7,7
33,No,Travel_Frequently,482,Research & Development,9,4,4,Female,4,4,Sales Representative,1,Divorced,5,Yes,36,2,1,1,24,5,4,14,14,13,12
19,Yes,Travel_Frequently,464,Hardware,22,4,2,Female,4,4,Developer,4,Single,1,No,18,2,4,4,24,6,2,7,5,1,4
52,Yes,Travel_Frequently,192,Hardware,10,1,3,Female,4,1,Developer,2,Single,2,Yes,23,4,1,1,16,2,4,12,6,5,1
41,No,Travel_Frequently,879,Sales,23,2,1,Female,1,5,Manager,1,Divorced,2,No,27,3,4,1,10,3,4,10,3,8,5
36,No,Non-Travel,511,Research & Development,40,5,3,Female,3,2,Human Resources,2,Divorced,4,No,22,3,2,1,22,3,2,18,17,6,6
33,Yes,Travel_Frequently,394,Human Resources,2,1,2,Female,2,2,Sales Executive,4,Married,7,Yes,6,3,2,2,14,3,2,10,9,3,9
54,Yes,Travel_Rarely,731,Research & Development,29,4,3,Female,4,4,Developer,2,Divorced,1,No,29,3,4,4,28,2,4,20,20,12,7
24,No,Non-Travel,1011,Sales,18,4,3,Female,2,2,Sales Representative,2,Married,8,No,43,3,1,4,35,1,4,23,21,5,5
39,No,Non-Travel,124,Research & Development,4,5,2,Female,4,2,Research Director,4,Single,0,Yes,1,1,4,4,21,5,3,9,3,8,9
23,No,Non-Travel,795,Research & Development,44,4,4,Female,2,1,Sales Representative,3,Divorced,2,Yes,22,3,4,4,12,2,2,1,1,1,1
21,Yes,Travel_Frequently,1207,Human Resources,41,5,2,Male,4,4,Human Resources,4,Divorced,2,No,0,3,4,4,35,5,4,12,9,7,11
25,Yes,Travel_Frequently,1220,Research & Development,33,5,3,Male,1,3,Research Director,2,Divorced,6,Yes,15,3,4,2,10,2,1,1,1,1,1
36,Yes,Travel_Frequently,442,Software,28,5,2,Female,1,5,Sales Executive,3,Single,7,Yes,39,1,3,3,34,6,3,28,24,2,25
18,Yes,Travel_Frequently,727,Support,41,3,1,Male,1,1,Sales Executive,2,Divorced,6,Yes,30,1,2,1,9,1,1,9,3,8,1
37,Yes,Travel_Rarely,1498,Support,25,4,3,Female,2,3,Manager,2,Divorced,8,Yes,36,4,2,3,6,6,2,3,3,2,2
51,Yes,Travel_Frequently,1069,Software,22,4,4,Female,1,5,Research Scientist,1,Married,1,Yes,35,1,2,3,16,3,4,6,2,4,4
23,No,Travel_Frequently,1146,Human Resources,31,1,3,Male,2,2,Developer,3,Married,1,No,47,2,1,2,2,3,4,1,1,1,1
25,Yes,Travel_Frequently,140,Research & Development,20,5,3,Female,1,1,Human Resources,1,Single,3,Yes,2,3,3,4,1,1,4,1,1,1,1
51,No,Travel_Rarely,430,Software,23,4,1,Male,3,1,Research Scientist,1,Married,5,No,17,1,1,2,38,6,2,11,11,11,6
60,No,Travel_Rarely,1348,Sales,32,3,1,Male,3,4,Research Director,1,Divorced,2,Yes,42,3,4,4,39,5,1,22,22,11,15
24,Yes,Travel_Rarely,286,Human Resources,3,3,2,Male,2,2,Sales Representative,3,Married,0,Yes,0,1,4,2,2,6,3,1,1,1,1
34,No,Travel_Rarely,1336,Support,14,1,2,Female,2,3,Healthcare Representative,3,Divorced,8,Yes,11,2,3,4,9,4,3,8,4,6,8
58,Yes,Travel_Frequently,1352,Sales,29,1,4,Female,4,3,Manager,3,Divorced,3,Yes,2,3,2,2,35,6,3,35,14,12,28
55,No,Non-Travel,811,Sales,7,4,3,Male,1,2,Manager,3,Married,2,No,21,1,3,1,7,3,4,4,3,3,1
48,Yes,Non-Travel,1431,Support,10,3,3,Male,1,1,Research Scientist,2,Single,2,No,25,3,2,4,24,2,3,16,12,16,3
29,Yes,Travel_Rarely,984,Support,47,5,3,Female,1,3,Sales Representative,4,Divorced,2,No,36,4,4,1,34,3,2,21,12,19,5
39,Yes,Travel_Rarely,1264,Software,49,4,4,Female,1,1,Sales Representative,4,Married,0,No,47,3,2,1,22,4,2,21,11,9,17
23,No,Travel_Rarely,274,Sales,3,3,4,Female,2,2,Healthcare Representative,1,Divorced,3,Yes,16,4,2,3,20,2,1,6,1,1,6
47,No,Non-Travel,169,Human Resources,3,3,4,Male,2,2,Sales Executive,1,Divorced,5,Yes,41,1,2,3,37,6,3,12,6,11,5
60,No,Travel_Frequently,691,Research & Development,29,4,1,Female,2,5,Research Director,1,Single,3,Yes,30,4,1,3,23,4,3,23,13,18,6
36,No,Travel_Frequently,1298,Software,15,2,3,Female,2,2,Sales Representative,3,Married,2,No,30,2,2,3,3,3,3,3,1,3,2
49,Yes,Non-Travel,1448,Software,13,1,2,Male,4,1,Manufacturing Director,4,Married,5,Yes,2,2,1,3,7,6,2,5,3,3,3
28,Yes,Travel_Rarely,369,Hardware,45,2,3,Male,4,2,Laboratory Technician,4,Divorced,7,No,23,4,1,4,27,1,1,26,4,11,12
26,No,Travel_Rarely,1109,Research & Development,14,4,4,Female,2,1,Manager,1,Married,3,Yes,3,3,3,1,4,6,2,3,2,3,3
28,Yes,Non-Travel,743,Sales,17,2,4,Male,1,1,Sales Representative,4,Single,8,No,42,2,3,1,20,6,1,17,5,4,6
60,No,Travel_Rarely,533,Human Resources,10,4,4,Male,4,4,Sales Executive,4,Single,7,Yes,22,4,1,3,22,6,4,21,14,21,10
32,Yes,Travel_Rarely,1376,Hardware,44,5,1,Male,4,2,Healthcare Representative,3,Single,7,No,20,4,2,2,40,4,4,10,8,1,8
58,Yes,Non-Travel,610,Research & Development,21,5,1,Female,4,1,Research Director,1,Married,5,Yes,10,3,4,2,27,5,4,11,6,9,11
25,Yes,Non-Travel,1226,Software,46,3,2,Female,1,1,Sales Representative,1,Married,7,Yes,42,4,2,2,24,2,4,8,4,2,1
46,No,Non-Travel,360,Sales,48,4,4,Male,4,3,Sales Representative,1,Divorced,7,Yes,38,3,3,2,33,1,2,9,2,8,6
49,No,Travel_Rarely,965,Research & Development,2,1,4,Male,4,1,Sales Representative,1,Married,0,No,42,4,2,4,7,5,4,6,4,3,2
25,Yes,Travel_Frequently,1294,Research & Development,20,2,4,Male,2,4,Human Resources,3,Divorced,7,Yes,11,2,4,2,1,3,3,1,1,1,1
55,No,Non-Travel,1437,Sales,1,4,3,Female,2,2,Sales Representative,1,Single,6,No,15,2,1,2,39,3,4,37,31,20,37
43,No,Travel_Rarely,481,Support,25,1,3,Female,3,3,Manufacturing Director,1,Single,2,No,41,1,2,2,3,4,4,3,2,1,2
25,No,Travel_Rarely,1449,Hardware,34,1,2,Female,1,5,Sales Representative,1,Married,3,Yes,2,1,3,3,3,2,3,2,2,1,2
32,No,Non-Travel,1359,Sales,25,1,1,Female,2,5,Sales Representative,3,Divorced,2,Yes,38,4,3,4,17,3,3,9,4,1,5
20,Yes,Travel_Rarely,610,Support,5,3,4,Female,3,5,Manager,1,Married,0,Yes,6,4,4,2,14,1,4,4,2,3,2
33,No,Travel_Rarely,205,Software,14,5,1,Female,4,3,Laboratory Technician,3,Married,7,No,24,4,4,2,19,2,3,18,18,10,15
49,Yes,Non-Travel,727,Sales,31,3,3,Female,3,2,Laboratory Technician,1,Married,7,Yes,24,2,3,1,6,6,3,2,1,1,2
26,No,Non-Travel,413,Support,4,3,2,Male,3,3,Sales Executive,2,Married,2,Yes,24,1,3,4,5,6,3,5,4,4,4
46,Yes,Non-Travel,951,Sales,33,2,3,Male,4,4,Manager,1,Divorced,0,No,7,2,3,2,4,4,2,2,1,1,1
28,No,Travel_Frequently,596,Human Resources,1,1,1,Female,1,1,Laboratory Technician,1,Divorced,6,No,25,1,1,1,30,4,2,29,24,23,9
42,No,Travel_Frequently,491,Software,7,1,2,Male,4,1,Manufacturing Director,2,Divorced,8,Yes,22,1,1,4,26,5,4,18,6,16,5
59,Yes,Non-Travel,947,Research & Development,1,5,4,Male,3,5,Sales Representative,3,Divorced,1,No,46,2,4,1,34,4,2,31,28,3,14
22,Yes,Non-Travel,610,Support,12,3,2,Female,4,5,Manufacturing Director,3,Divorced,0,No,9,2,1,4,40,3,4,14,1,6,9
39,Yes,Travel_Rarely,1208,Support,36,5,1,Male,4,5,Research Director,4,Divorced,0,No,17,4,3,1,38,4,4,10,6,3,6
51,No,Non-Travel,777,Support,41,3,3,Male,1,5,Manager,4,Single,3,No,22,4,1,1,2,2,1,1,1,1,1
45,No,Travel_Rarely,340,Human Resources,18,4,3,Male,1,1,Manufacturing Director,2,Married,4,Yes,33,4,2,3,30,5,3,2,1,2,1
51,No,Non-Travel,1022,Support,21,3,1,Male,2,1,Sales Representative,1,Divorced,0,No,18,1,4,4,13,3,4,9,6,4,3
55,No,Non-Travel,1377,Support,49,3,3,Male,1,3,Manufacturing Director,1,Divorced,8,Yes,26,1,2,3,16,6,4,4,3,3,3
44,No,Travel_Frequently,467,Human Resources,43,2,4,Female,4,4,Sales Representative,1,Married,3,Yes,18,2,3,3,24,2,4,5,3,2,3
44,No,Non-Travel,1435,Sales,12,3,2,Female,4,2,Manufacturing Director,2,Divorced,6,Yes,30,3,2,3,19,4,4,15,14,9,12
59,Yes,Non-Travel,569,Support,8,5,2,Female,3,3,Sales Executive,3,Single,6,No,31,2,3,3,9,6,4,2,1,2,2
28,No,Non-Travel,465,Sales,30,1,4,Male,4,3,Sales Executive,4,Single,1,Yes,5,1,2,1,40,2,1,22,4,6,7
57,No,Travel_Rarely,945,Hardware,28,3,1,Female,2,4,Research Scientist,3,Single,5,Yes,27,2,4,3,15,5,3,5,2,4,2
45,No,Travel_Frequently,1044,Software,2,2,4,Male,4,2,Manufacturing Director,1,Divorced,4,No,33,1,2,2,23,2,4,17,4,4,5
50,No,Travel_Frequently,1223,Sales,26,3,2,Male,1,4,Healthcare Representative,3,Divorced,0,Yes,29,1,3,1,3,2,3,2,2,1,1
47,No,Travel_Frequently,1246,Hardware,12,2,2,Male,2,3,Manufacturing Director,4,Divorced,1,Yes,18,1,3,1,25,3,2,6,5,1,4
48,No,Travel_Frequently,297,Human Resources,48,1,4,Female,4,4,Human Resources,2,Single,7,No,6,1,2,2,18,1,4,7,3,3,2
48,No,Travel_Rarely,1225,Hardware,44,5,4,Female,4,4,Sales Representative,1,Divorced,4,Yes,28,1,2,1,1,1,1,1,1,1,1
36,No,Travel_Frequently,113,Sales,22,5,2,Male,2,3,Human Resources,3,Married,3,Yes,25,1,1,2,18,4,1,10,9,10,4
45,No,Travel_Rarely,1048,Human Resources,32,4,2,Female,2,4,Developer,2,Single,0,Yes,40,3,4,3,36,6,2,16,10,16,5
27,Yes,Travel_Rarely,469,Hardware,47,5,1,Male,3,1,Sales Representative,4,Married,1,No,43,1,1,3,9,1,4,4,1,2,2
47,Yes,Non-Travel,1290,Software,9,1,2,Female,4,2,Laboratory Technician,1,Divorced,3,Yes,49,2,4,3,6,5,1,2,1,1,2
19,No,Non-Travel,1062,Sales,42,5,1,Male,4,4,Research Director,4,Divorced,4,No,30,2,1,4,4,2,3,2,1,1,1
40,No,Non-Travel,1447,Research & Development,40,1,4,Male,2,4,Manager,2,Divorced,1,No,22,3,2,4,7,2,4,1,1,1,1
60,Yes,Non-Travel,764,Human Resources,20,4,4,Female,3,2,Healthcare Representative,2,Married,3,Yes,49,1,3,2,4,4,3,3,1,3,2
47,Yes,Non-Travel,1372,Hardware,35,2,3,Male,1,3,Sales Representative,4,Divorced,7,No,45,4,1,1,29,6,3,24,24,16,16
18,No,Travel_Frequently,1256,Hardware,2,3,2,Female,4,1,Developer,3,Single,0,No,35,2,2,2,8,3,2,2,1,2,1
29,Yes,Travel_Rarely,1500,Human Resources,25,3,1,Female,3,3,Research Director,1,Single,1,Yes,9,1,1,3,32,5,1,9,4,5,9
31,Yes,Travel_Rarely,1499,Human Resources,39,5,2,Male,2,4,Manager,2,Divorced,5,Yes,16,4,1,1,23,4,4,8,8,3,1
22,Yes,Non-Travel,742,Hardware,31,4,3,Female,1,3,Research Director,3,Single,5,No,9,1,2,2,12,5,3,12,5,5,7
36,Yes,Travel_Rarely,680,Research & Development,14,5,2,Female,4,5,Human Resources,1,Single,1,No,42,2,3,1,1,1,1,1,1,1,1
38,Yes,Travel_Rarely,1143,Sales,13,2,4,Female,1,2,Manager,2,Divorced,4,Yes,32,2,1,4,21,4,2,2,1,2,1
55,Yes,Travel_Rarely,1007,Support,35,3,3,Male,2,5,Human Resources,3,Married,2,Yes,38,3,1,2,6,2,2,6,6,1,2
44,No,Travel_Frequently,673,Hardware,1,2,2,Male,4,2,Sales Representative,1,Single,2,No,26,4,4,4,34,4,4,33,6,28,17
27,No,Non-Travel,692,Research & Development,34,5,2,Male,3,3,Research Director,1,Married,8,Yes,25,4,4,4,25,4,1,2,1,2,1
43,No,Non-Travel,731,Software,9,4,1,Female,3,2,Manager,3,Single,0,No,6,1,4,4,13,2,4,9,2,9,2
51,Yes,Non-Travel,1392,Research & Development,5,4,2,Male,1,4,Laboratory Technician,2,Married,7,Yes,0,4,4,3,40,5,3,32,29,26,27
42,No,Travel_Rarely,659,Research & Development,24,5,4,Male,3,1,Research Scientist,4,Single,6,Yes,21,2,3,2,27,2,2,6,3,3,3
47,No,Non-Travel,152,Software,15,1,3,Male,3,2,Laboratory Technician,4,Divorced,1,Yes,41,4,2,2,37,6,1,26,13,14,25
33,No,Travel_Frequently,924,Human Resources,21,1,3,Male,1,2,Manufacturing Director,1,Divorced,8,Yes,41,2,4,1,13,5,1,9,6,3,9
41,Yes,Travel_Frequently,627,Sales,14,3,1,Male,3,1,Research Scientist,4,Divorced,8,No,15,3,2,2,19,1,3,14,7,3,9
44,Yes,Travel_Frequently,575,Software,4,5,3,Female,3,5,Manager,2,Divorced,1,Yes,33,3,3,2,14,6,1,7,2,5,4
32,Yes,Travel_Frequently,302,Research & Development,24,2,2,Female,4,3,Manager,4,Divorced,0,Yes,7,1,4,3,2,4,2,2,2,1,1
42,No,Non-Travel,130,Research & Development,30,2,1,Female,3,2,Developer,2,Divorced,6,No,14,2,2,4,3,1,2,3,2,1,1
49,No,Non-Travel,414,Human Resources,30,4,4,Female,4,1,Sales Executive,1,Single,8,No,41,3,3,4,4,5,3,4,3,2,1
41,Yes,Non-Travel,399,Hardware,29,3,3,Female,1,5,Developer,3,Single,4,Yes,45,2,1,2,11,3,3,5,4,4,4
57,Yes,Travel_Frequently,190,Hardware,25,4,4,Female,4,2,Human Resources,3,Single,8,No,39,3,2,1,30,4,2,2,1,1,1
22,Yes,Travel_Rarely,698,Software,35,1,3,Female,4,1,Manufacturing Director,1,Divorced,3,No,12,4,2,1,39,3,3,22,9,22,21
36,Yes,Travel_Rarely,383,Support,1,3,4,Female,1,1,Research Scientist,4,Married,0,No,46,2,4,1,29,3,3,27,11,10,17
35,No,Travel_Frequently,271,Human Resources,37,4,2,Male,4,1,Developer,1,Single,7,Yes,21,2,4,2,6,3,4,1,1,1,1
48,Yes,Non-Travel,852,Hardware,18,2,2,Female,2,2,Human Resources,2,Single,6,No,7,3,1,1,15,6,2,14,7,9,9
21,No,Travel_Frequently,1455,Hardware,2,5,4,Female,2,4,Research Scientist,4,Married,4,Yes,23,4,1,4,3,5,3,1,1,1,1
31,No,Non-Travel,1045,Software,11,4,1,Male,4,5,Healthcare Representative,1,Single,4,No,46,3,3,1,38,4,3,12,6,8,4
54,No,Travel_Frequently,915,Sales,4,1,4,Male,2,3,Sales Representative,1,Married,8,No,21,3,4,4,37,2,3,13,10,13,7
22,Yes,Travel_Frequently,1438,Support,50,2,3,Female,3,4,Human Resources,3,Single,8,Yes,1,2,1,2,33,4,2,17,3,8,11
35,No,Travel_Frequently,396,Sales,32,4,2,Female,1,1,Manufacturing Director,1,Divorced,6,Yes,7,2,4,4,1,1,4,1,1,1,1
49,No,Travel_Frequently,1496,Human Resources,37,4,4,Female,2,5,Healthcare Representative,4,Married,2,Yes,49,2,2,4,32,2,4,19,18,12,14
